player_id,minutes_played_season,goals_total,assists_total,yellow_cards,red_cards,market_value_eur,player_name,date_of_birth,position,sub_position,age,transfer_fee_eur,season_year,competition_and_season,sb_matches_played,sb_goals,sb_assists,sb_shots,sb_xg,sb_passes,sb_pass_completed,sb_tackles,sb_interceptions,sb_dribbles_completed,sb_minutes_played,sb_pass_accuracy,bmi,season_days_injured,days_injured_prev_season,cumulative_days_injured,injury_days_per_game,injury_trend,severe_injury_this_season,injury_risk_score,fan_sentiment,media_sentiment
10,1714,8,8,3,0,1000000,Miroslav Klose,09-06-1978,Attack,Centre-Forward,37,0,2015,Serie A_2015/2016,24,7,6,30,5.801332839,317,205,13,7,12,95,0.646687697,23.58983547,0,0,0,0,0,0,0,0.142080874,0.267432178
26,4401,0,0,2,1,5000000,Roman Weidenfeller,06-08-1980,Goalkeeper,Goalkeeper,32,0,2012,Champions League_2012/2013,1,0,0,0,0,37,20,0,0,0,88,0.540540541,23.58983547,0,0,0,0,0,0,0,-0.026905324,0.210514144
26,1260,0,0,1,0,1000000,Roman Weidenfeller,06-08-1980,Goalkeeper,Goalkeeper,35,0,2015,1. Bundesliga_2015/2016,1,0,0,0,0,29,18,0,0,0,91,0.620689655,23.58983547,0,0,0,0,0,0,0,0.403425068,0.02884597
277,1237,0,1,5,0,1000000,Sérgio da Silva Pinto,16-10-1980,Midfield,Central Midfield,33,0,2013,La Liga_2013/2014,2,0,0,1,0.00939551,18,10,4,0,0,93,0.555555556,23.58983547,0,0,0,0,0,0,0,0.097041068,-0.165919998
568,164,0,0,0,0,1000000,Martin Stranzl,16-06-1980,Defender,Centre-Back,35,0,2015,1. Bundesliga_2015/2016,3,0,0,0,0,119,104,3,1,0,89,0.87394958,23.58983547,0,0,0,0,0,0,0,-0.168892618,0.25074249
1126,2934,0,2,8,0,750000,Matthias Lehmann,28-05-1983,Midfield,Defensive Midfield,32,0,2015,1. Bundesliga_2015/2016,32,0,2,14,0.705565864,1363,1116,46,29,5,94,0.818782098,23.58983547,0,0,0,0,0,0,0,0.106904924,0.025051131
1277,2845,1,4,14,0,750000,Clemens Fritz,07-12-1980,Defender,Right-Back,35,0,2015,1. Bundesliga_2015/2016,29,1,2,25,0.771075267,1035,764,83,21,33,95,0.738164251,23.58983547,0,0,0,0,0,0,0,-0.117259937,-0.090117142
1331,552,0,0,0,0,1250000,Kevin Kuranyi,02-03-1982,Attack,Centre-Forward,33,0,2015,1. Bundesliga_2015/2016,14,0,0,10,1.994143447,183,105,7,1,5,96,0.573770492,23.58983547,0,0,0,0,0,0,0,-0.161253095,0.128241998
1565,1748,12,1,2,0,3000000,Alexander Meier,17-01-1983,Attack,Second Striker,32,0,2015,1. Bundesliga_2015/2016,19,12,1,50,6.716222392,483,321,7,9,7,94,0.664596273,23.58983547,0,0,0,0,0,0,0,0.392615947,0.035327328
1586,2303,2,1,6,0,1000000,Christian Schulz,01-04-1983,Defender,Centre-Back,32,0,2015,1. Bundesliga_2015/2016,25,2,0,8,1.08968838,996,821,19,43,2,93,0.824297189,23.58983547,0,0,0,0,0,0,0,-0.237094537,0.136428202
