p_id2,start_year,age,bmi,season_days_injured,season_days_injured_prev_season,cumulative_days_injured,injury_days_per_game,injury_trend,severe_season_injury,injury_risk_score
aaronconnolly,2019,19,24.613627492084603,13,0.0,0.0,0.52,13.0,0,0.2590073148424354
aaronconnolly,2020,20,24.613627492084603,71,13.0,161.0,3.9444444444444446,58.0,1,0.31591491752257206
aaroncresswell,2016,27,22.396078801018007,95,0.0,0.0,3.5185185185185186,95.0,1,0.34719512352591914
aaroncresswell,2018,29,22.396078801018007,87,95.0,226.0,4.142857142857143,-8.0,1,0.29637800818676024
aaroncresswell,2019,30,22.396078801018007,35,87.0,452.0,1.09375,-52.0,0,0.24439581000930324
aaroncresswell,2020,31,22.396078801018007,9,35.0,678.0,0.24324324324324326,-26.0,0,0.2400923864452745
aaronlennon,2017,30,23.1404958677686,33,0.0,0.0,1.1,33.0,0,0.2805165364725533
aaronlennon,2018,31,23.1404958677686,166,33.0,199.0,9.764705882352942,133.0,1,0.40912196503416465
aaronmooy,2017,27,24.102609829121494,26,0.0,0.0,0.7027027027027027,26.0,0,0.27298830890201203
aaronmooy,2018,28,24.102609829121494,89,26.0,130.0,2.966666666666667,63.0,1,0.3294472791388796
aaronmooy,2019,29,24.102609829121494,15,89.0,260.0,0.46875,-74.0,0,0.22198805620288972
aaronramsdale,2019,21,21.785875961973744,11,0.0,0.0,0.2894736842105263,11.0,0,0.25685639267942356
aaronramsey,2016,26,22.587833094227893,122,0.0,0.0,5.083333333333333,122.0,1,0.3762325727265784
aaronramsey,2016,26,22.587833094227893,122,122.0,436.0,5.083333333333333,0.0,1,0.3222794548012525
aaronramsey,2017,27,22.587833094227893,44,122.0,872.0,1.76,-78.0,0,0.23875115713451434
aaronramsey,2017,27,22.587833094227893,44,44.0,1308.0,1.76,0.0,0,0.27370282194700946
aaronramsey,2018,28,22.587833094227893,157,44.0,1744.0,5.413793103448276,113.0,1,0.39558759084789813
aaronramsey,2018,28,22.587833094227893,157,157.0,2180.0,5.413793103448276,0.0,1,0.3456674519782194
abdelhamidsabiri,2018,22,23.12406058503873,95,0.0,0.0,31.666666666666668,95.0,1,0.34719512352591914
aboubakarkamara,2018,23,25.056656771681187,42,0.0,0.0,3.0,42.0,0,0.2901956862061064
adamfederici,2016,31,25.46401086464464,157,0.0,0.0,52.333333333333336,157.0,1,0.41387371057928485
adamidah,2019,18,22.99168975069252,28,0.0,0.0,2.1538461538461537,28.0,0,0.2751392310650238
adamlallana,2016,28,23.836734693877556,63,0.0,0.0,1.96875,63.0,1,0.3127803689177303
adamlallana,2017,29,23.836734693877556,160,63.0,413.0,12.307692307692308,97.0,1,0.3892268615507477
adamlallana,2018,30,23.836734693877556,142,160.0,826.0,10.142857142857142,-18.0,1,0.3271181181830884
adamlallana,2020,32,23.836734693877556,48,142.0,1239.0,1.5483870967741935,-94.0,0,0.23444835574930303
adamsmith,2017,26,24.382716049382715,49,0.0,0.0,1.75,49.0,0,0.29772391377664775
adamsmith,2017,26,24.382716049382715,49,49.0,270.0,1.75,0.0,0,0.276123747559379
adamsmith,2017,25,20.146806903792665,49,49.0,540.0,1.75,0.0,0,0.2764809117561891
adamsmith,2017,25,20.146806903792665,49,49.0,810.0,1.75,0.0,0,0.27683807595299914
adamsmith,2018,27,24.382716049382715,107,49.0,1080.0,4.115384615384615,58.0,1,0.33957198287715146
adamsmith,2018,27,24.382716049382715,107,107.0,1350.0,4.115384615384615,0.0,1,0.3139388376042356
adamsmith,2018,26,20.146806903792665,107,107.0,1620.0,4.115384615384615,0.0,1,0.31429600180104567
adamsmith,2018,26,20.146806903792665,107,107.0,1890.0,4.115384615384615,0.0,1,0.31465316599785575
adamsmith,2019,28,24.382716049382715,93,107.0,2160.0,3.72,-14.0,1,0.29995387505358323
adamsmith,2019,28,24.382716049382715,93,93.0,2430.0,3.72,0.0,1,0.3065845622258444
adamsmith,2019,27,20.146806903792665,93,93.0,2700.0,3.72,0.0,1,0.30694172642265444
adamsmith,2019,27,20.146806903792665,93,93.0,2970.0,3.72,0.0,1,0.3072988906194646
adamwebster,2019,24,20.775623268698062,31,0.0,0.0,0.96875,31.0,0,0.27836561430954154
adamwebster,2020,25,20.775623268698062,16,31.0,489.0,0.5333333333333333,-15.0,0,0.24870008120515927
ademolalookman,2018,21,25.30056810675122,78,0.0,0.0,3.5454545454545454,78.0,1,0.3289122851403188
ademolalookman,2020,23,25.30056810675122,8,78.0,105.0,0.22857142857142856,-70.0,0,0.21903262936004625
adnanjanuzaj,2016,21,22.30033081285444,42,0.0,0.0,1.6153846153846154,42.0,0,0.2901956862061064
adrianmariappa,2016,30,24.725466358418373,52,0.0,0.0,6.5,52.0,0,0.30095029702116544
ahmedelmohamady,2020,33,23.461861107119105,54,0.0,0.0,3.6,54.0,0,0.30310121918417726
albianajeti,2019,22,23.09215961459981,16,0.0,0.0,1.6,16.0,0,0.26223369808695307
aleksandarmitrovic,2017,23,23.870310909233307,41,0.0,0.0,5.857142857142857,41.0,0,0.2891202251246005
aleksandarmitrovic,2020,26,23.870310909233307,17,41.0,96.0,0.6071428571428571,-24.0,0,0.24529149031068698
alexandertettey,2019,33,20.98765432098765,46,0.0,0.0,1.4838709677419355,46.0,0,0.29449753053213
alexandrelacazette,2017,26,24.00866919367265,44,0.0,0.0,1.3333333333333333,44.0,0,0.29234660836911824
alexandrelacazette,2018,27,24.00866919367265,19,44.0,151.0,0.5277777777777778,-25.0,0,0.24609942339708057
alexandrelacazette,2019,28,24.00866919367265,48,19.0,302.0,1.5483870967741935,29.0,0,0.28884664291965606
alexandrelacazette,2020,29,24.00866919367265,1,48.0,453.0,0.03125,-47.0,0,0.22566094591390046
alexismacallister,2020,22,23.18367346938776,38,0.0,0.0,1.7272727272727273,38.0,0,0.2858938418800828
alexiwobi,2016,20,22.43521260034797,27,0.0,0.0,1.0,27.0,0,0.27406376998351795
alexiwobi,2018,22,22.43521260034797,1,27.0,63.0,0.027777777777777776,-26.0,0,0.23435573036479232
alexiwobi,2019,23,22.43521260034797,35,1.0,126.0,1.3461538461538463,34.0,0,0.2829251211863426
alexmccarthy,2016,27,21.20862305028323,291,0.0,0.0,291.0,291.0,1,0.5579854955010753
alexmccarthy,2018,29,21.20862305028323,52,291.0,368.0,2.0,-239.0,0,0.17126664343335368
alexmccarthy,2019,30,21.20862305028323,9,52.0,736.0,0.3103448275862069,-43.0,0,0.23211884478567044
alexmccarthy,2020,31,21.20862305028323,16,9.0,1104.0,0.5161290322580645,7.0,0,0.25927326558413566
alexpritchard,2017,24,21.20310522895934,132,0.0,0.0,8.8,132.0,1,0.38698718354163736
alexpritchard,2018,25,21.20310522895934,16,132.0,191.0,0.5161290322580645,-116.0,0,0.20379844553853269
alexsmithies,2018,28,24.85405694623036,50,0.0,0.0,50.0,50.0,0,0.2987993748581536
alfiemawson,2018,24,24.24622131725273,193,0.0,0.0,12.0625,193.0,1,0.4525903095134972
alirezajahanbakhsh,2018,25,23.76543209876543,68,0.0,0.0,3.4,68.0,1,0.3181576743252598
alirezajahanbakhsh,2019,26,23.76543209876543,31,68.0,201.0,2.8181818181818183,-37.0,0,0.24825092933912304
alirezajahanbakhsh,2020,27,23.76543209876543,78,31.0,402.0,3.5454545454545454,47.0,1,0.31573433751536495
andrearanocchia,2016,28,21.301775147929,11,0.0,0.0,0.6470588235294118,11.0,0,0.25685639267942356
andreaschristensen,2017,21,22.09995299224846,12,0.0,0.0,0.42857142857142855,12.0,0,0.2579318537609294
andreaschristensen,2018,22,22.09995299224846,15,12.0,146.0,1.6666666666666667,3.0,0,0.25613697993782664
andreaschristensen,2019,23,22.09995299224846,40,15.0,292.0,1.8181818181818181,25.0,0,0.28203522896350075
andreaschristensen,2020,24,22.09995299224846,54,40.0,438.0,3.0,14.0,0,0.28624501284547255
andregray,2018,27,24.074074074074076,43,0.0,0.0,1.4333333333333333,43.0,0,0.29127114728761233
andrewrobertson,2016,22,20.094264192231616,42,0.0,0.0,1.2352941176470589,42.0,0,0.2901956862061064
andrewrobertson,2017,23,20.094264192231616,2,42.0,79.0,0.08695652173913043,-40.0,0,0.22871067995884622
andrewrobertson,2018,24,20.094264192231616,20,2.0,158.0,0.5405405405405406,18.0,0,0.26634733672371314
andrewrobertson,2019,25,20.094264192231616,11,20.0,237.0,0.2972972972972973,-9.0,0,0.2489562348181948
andrewrobertson,2020,26,20.094264192231616,4,11.0,316.0,0.10256410256410256,-7.0,0,0.24581499224262965
andrewsurman,2016,30,23.04002019946976,106,0.0,0.0,4.608695652173913,106.0,1,0.359025195422484
andrewsurman,2018,32,23.04002019946976,82,106.0,234.0,4.315789473684211,-24.0,1,0.2860715599169558
andrewsurman,2019,33,23.04002019946976,46,82.0,468.0,7.666666666666667,-36.0,0,0.2584665333482597
andriyyarmolenko,2018,29,22.91344446353898,222,0.0,0.0,22.2,222.0,1,0.48377868087716824
andriyyarmolenko,2019,30,22.91344446353898,82,222.0,419.0,3.4166666666666665,-140.0,1,0.23445009994084312
