player_name,season,matches_played,goals,assists,shots,xg,passes,pass_completed,tackles,interceptions,dribbles_completed,minutes_played,pass_accuracy
Aaren D''Silva,Indian Super league_2021/2022,9,0,1,0,0.0,43,26,1,1,2,119,0.6046511627906976
Aaron Cresswell,Premier League_2015/2016,37,2,4,27,0.8002924175999999,1874,1402,44,38,16,97,0.7481323372465315
Aaron Hughes,Premier League_2003/2004,2,0,0,0,0.0,118,86,8,1,0,92,0.7288135593220338
Aaron Hunt,1. Bundesliga_2015/2016,23,1,2,24,1.9008359919999998,870,625,28,7,25,97,0.7183908045977011
Aaron Lennon,Premier League_2003/2004,1,0,1,0,0.0,10,5,2,0,0,92,0.5
Aaron Lennon,Premier League_2015/2016,25,5,0,18,1.9527292089999997,516,402,30,14,19,97,0.7790697674418605
Aaron Long,Major League Soccer_2023,1,0,0,1,0.0790901,50,43,3,3,0,94,0.86
Aaron Mattia Tabacchi,Serie A_2015/2016,1,0,0,0,0.0,9,6,0,0,0,92,0.6666666666666666
Aaron Mooy,FIFA World Cup_2018,3,0,0,3,0.054095519,206,168,5,3,1,94,0.8155339805825242
Aaron Mooy,FIFA World Cup_2022,4,0,0,1,0.039191317,219,171,13,3,2,96,0.7808219178082192
Aaron Ramsey,FIFA World Cup_2022,3,0,0,1,0.025361432,110,86,4,1,3,99,0.7818181818181819
Aaron Ramsey,Ligue 1_2022/2023,2,0,0,0,0.0,133,118,3,1,0,82,0.8872180451127819
Aaron Ramsey,Premier League_2015/2016,31,5,4,67,7.4206954298,2197,1855,88,32,41,95,0.8443331816112881
Aaron Ramsey,UEFA Euro_2020,4,1,0,7,1.3897505269999997,157,121,7,6,3,96,0.7707006369426752
Aaron Salem Boupendza Pozzi,Major League Soccer_2023,1,0,0,3,0.6570470580000001,15,11,0,0,2,95,0.7333333333333333
Aaron Tshibola,African Cup of Nations_2023,6,1,0,1,0.7835,70,61,2,3,0,127,0.8714285714285714
Aarón Escandell Banacloche,La Liga_2020/2021,1,0,0,0,0.0,28,10,0,0,0,94,0.35714285714285715
Aarón Martín Caricol,La Liga_2016/2017,2,0,0,0,0.0,66,49,1,1,2,94,0.7424242424242424
Aarón Martín Caricol,La Liga_2017/2018,2,0,0,0,0.0,53,32,5,4,0,92,0.6037735849056604
Aarón Martín Caricol,La Liga_2020/2021,1,0,0,0,0.0,28,24,3,0,0,92,0.8571428571428571
Aarón Níguez Esclapez,La Liga_2014/2015,1,0,0,0,0.0,19,10,3,0,0,81,0.5263157894736842
Abbey-Leigh Stringer,FA Women's Super League_2018/2019,14,0,1,3,0.074102537,504,376,41,14,8,96,0.746031746031746
Abbey-Leigh Stringer,FA Women's Super League_2019/2020,11,0,0,0,0.0,222,162,19,11,9,94,0.7297297297297297
Abbey-Leigh Stringer,FA Women's Super League_2020/2021,14,0,0,8,0.375355989,372,303,24,13,8,96,0.8145161290322581
Abbi Grant,FA Women's Super League_2019/2020,13,2,0,23,1.8315577493000004,315,236,19,11,8,94,0.7492063492063492
Abbi Grant,FA Women's Super League_2020/2021,2,0,0,1,0.14176507,14,9,0,1,0,96,0.6428571428571429
Abbie Larkin,Women's World Cup_2023,3,0,0,2,0.056936366,22,10,2,0,0,96,0.45454545454545453
