feature,xgb_importance,lgb_importance
market_value_tier_encoded,0.32778344,50
log_market_value,0.30201215,2486
prev_value,0.26013058,1346
current_age,0.042731807,57
age_squared,0.04214013,6
prev_value2,0.016807968,197
value_trend,0.0058369874,95
dribbles,0.0006315257,258
total_likes,0.00040374853,284
pct_change,0.00037639317,26
transfer_attractiveness_score,0.00017018351,341
position_encoded,0.0001497427,5
tackle_success_rate,7.9277175e-05,221
tackles_total,7.840947e-05,324
goal_contributions_per90,4.893184e-05,117
vader_compound_score,4.6234938e-05,158
tackles_won,3.9676765e-05,187
total_tweets,3.340238e-05,70
matches,3.2385196e-05,189
goals,2.990022e-05,77
vader_negative_score,2.969183e-05,182
positive_tweets,2.936616e-05,84
pass_accuracy_pct,2.7856307e-05,585
tweet_engagement_rate,2.7286953e-05,280
passes_complete,2.2775654e-05,233
minutes_played,2.1553384e-05,243
passes_total,2.1336338e-05,295
availability_rate,2.0678255e-05,76
assist_to_goal_ratio,1.8689101e-05,323
shots,1.7756129e-05,171
tb_polarity,1.6589955e-05,263
assists,1.6534004e-05,150
goals_per90,1.2485408e-05,182
shot_conversion_rate,1.10307765e-05,272
minutes_per_match,1.0972949e-05,155
interceptions,1.0851659e-05,239
fouls_committed,1.0401148e-05,214
total_injuries,1.0361571e-05,26
pass_accuracy_tier_encoded,1.0011985e-05,5
age_decay_factor,9.306533e-06,1
assists_per90,8.992237e-06,229
attacking_output_index,8.8284705e-06,245
injury_frequency,7.578605e-06,40
negative_count,7.5073917e-06,19
dribbles_per90,7.4144273e-06,312
tb_subjectivity,7.121239e-06,266
defensive_actions_per90,6.7321516e-06,246
total_days_injured,5.1304237e-06,130
shots_per90,4.7625454e-06,246
vader_positive_score,3.5218436e-06,179
negative_tweets,2.8474676e-06,9
neutral_count,2.6143566e-06,15
total_matches_missed,2.5189283e-06,57
injury_burden_index,2.453406e-06,93
social_buzz_score,1.120122e-06,48
positive_count,1.0306311e-06,22
pos_Midfielder,9.689744e-07,0
minutes_played_tier_encoded,4.5085662e-07,1
pos_Defender,0.0,1
season_encoded,0.0,0
pos_Goalkeeper,0.0,0
pos_Forward,0.0,0
total_injuries_tier_encoded,0.0,0
value_trend2,0.0,0
