Unnamed: 0,Date Created,Number of Likes,Source of Tweet,Tweet,Sentiment,cleaned_text,sentiment,mentioned_players
80,2022-11-20 23:31:10+00:00,3,Twitter for iPhone,"@Juezcentral: The history of Hernán Galindez, goalie of Ecuador | 🧵 

“Hernan Galindez was born in Rosario, Argentina. He is 35 years old and is from the same generation of Lionel Messi and Angel Di Maria (both born in 1987 &amp; 1988 respectively)…”

#WorldCup2022 https://t.co/UtKEZlf4lx",neutral,": The history of Hernán Galindez, goalie of Ecuador | “Hernan Galindez was born in Rosario, Argentina. He is 35 years old and is from the same generation of Lionel Messi and Angel Di Maria (both born in 1987 &amp; 1988 respectively)…” WorldCup2022",neutral,['Lionel Messi']
208,2022-11-20 23:06:51+00:00,0,Twitter Web App,"Current Ballon d’Or champion, Karim Benzema has been ruled out of the #WorldCup2022 after suffering an injury in training.
The Real Madrid striker’s first full training session ended his World Cup dreams after he suffered an injury on Saturday November 19

https://t.co/BA1hnk6KeO https://t.co/C95Hh1Ds3n",negative,"Current Ballon d’Or champion, Karim Benzema has been ruled out of the WorldCup2022 after suffering an injury in training. The Real Madrid striker’s first full training session ended his World Cup dreams after he suffered an injury on Saturday November 19",negative,['Karim Benzema']
281,2022-11-20 22:55:01+00:00,3,Twitter for iPhone,"dilf
#neymarjr #brazil #WorldCup2022 https://t.co/MH2QH5v2O3",neutral,dilf neymarjr brazil WorldCup2022,neutral,['Neymar']
363,2022-11-20 22:43:50+00:00,0,Twitter for iPhone,Antoine Arnault who heads image/comms for LVMH says this IG post by Cristiano Ronaldo has become the most liked post in IG history. The football player is photographed with Leo Messi in this LV ad photographed by Annie Leibovitz #WorldCup2022 #luxury https://t.co/kf6askfusc,positive,Antoine Arnault who heads image/comms for LVMH says this IG post by Cristiano Ronaldo has become the most liked post in IG history. The football player is photographed with Leo Messi in this LV ad photographed by Annie Leibovitz WorldCup2022 luxury,positive,['Cristiano Ronaldo']
520,2022-11-20 22:22:19+00:00,0,Twitter Web App,"Harry Kane is thinking of breaking records:

Spurs all time top goalscorer
PL´s all time top goalscorer

Englands all time top goalscorer

World Cup all time top goalscorer, is it Klose with 16 goals? Kane should score at least 11 goals in this #WorldCup2022 #England 

@HKane",positive,"Harry Kane is thinking of breaking records: Spurs all time top goalscorer PL´s all time top goalscorer Englands all time top goalscorer World Cup all time top goalscorer, is it Klose with 16 goals? Kane should score at least 11 goals in this WorldCup2022 England",positive,['Harry Kane']
578,2022-11-20 22:14:25+00:00,4,TweetDeck,"”You can't sit around and do nothing, you have to carry on.” - Kylian Mbappe
#Goal #Journey #Trust #Focus #Inspirational #Motivational #Inspire #Motivation #Inspiration #Quotes #MotivationalQuotes #Quote #QuotesToLiveBy #WorldCup2022 #WorldCup https://t.co/7w2ANp7U4R",positive,"”You can't sit around and do nothing, you have to carry on.” - Kylian Mbappe Goal Journey Trust Focus Inspirational Motivational Inspire Motivation Inspiration Quotes MotivationalQuotes Quote QuotesToLiveBy WorldCup2022 WorldCup",positive,['Kylian Mbappe']
585,2022-11-20 22:12:00+00:00,0,Twitter Web App,"Kylian Mbappe is World Cup ready.
#worldcup #fifaworldcup #fifa #football #WorldCup2022 https://t.co/C9cUwNW4bD",positive,Kylian Mbappe is World Cup ready. worldcup fifaworldcup fifa football WorldCup2022,positive,['Kylian Mbappe']
684,2022-11-20 21:55:17+00:00,0,Twitter for Android,"WORLD CUP PREDICTIONS. 
WINNERS - ARGENTINA.
GOLDEN BOOT - HARRY KANE.
WHATS YOURS? @FIFAWorldCup 
#QatarWorldCup2022 #FIFAWorldCup #WorldCup #WorldCup2022",neutral,WORLD CUP PREDICTIONS. WINNERS - ARGENTINA. GOLDEN BOOT - HARRY KANE. WHATS YOURS? QatarWorldCup2022 FIFAWorldCup WorldCup WorldCup2022,positive,['Harry Kane']
691,2022-11-20 21:53:28+00:00,44,Twitter for iPhone,Starting Bukayo Saka vs Iran makes sense; exceptional in tight spaces and that’ll be a much-needed skillset. #WorldCup2022,positive,Starting Bukayo Saka vs Iran makes sense; exceptional in tight spaces and that’ll be a much-needed skillset. WorldCup2022,neutral,['Bukayo Saka']
705,2022-11-20 21:51:24+00:00,8,Twitter for iPhone,"Went to see Neymar &amp; end up having one of the best night ever, the rhythm, the people, the joy, the love. This one sport bring so many people together #Worldcup2022 @neymarjr ❤️#QatarWorldCup2022 #Brazil #Qatar https://t.co/aHRYB3bR4t",positive,"Went to see Neymar &amp; end up having one of the best night ever, the rhythm, the people, the joy, the love. This one sport bring so many people together Worldcup2022 QatarWorldCup2022 Brazil Qatar",positive,['Neymar']
757,2022-11-20 21:37:00+00:00,10,Twitter for Advertisers,"Oi, oi! ⚽️

Harry Kane's here again for #CBeebiesBedtimeStories! 

Oi Dog! by Kes and Claire Gray with illustrations by @_JimField is on  tonight. 📚

Watch on @bbciplayer anytime. 🙌

#WorldCup2022 @HKane https://t.co/FpHOOIQeJm",positive,"Oi, oi! Harry Kane's here again for CBeebiesBedtimeStories! Oi Dog! by Kes and Claire Gray with illustrations by is on tonight. Watch on anytime. WorldCup2022",neutral,['Harry Kane']
785,2022-11-20 21:24:36+00:00,28,Twitter Web App,"🚨 Man City’s John Stones is set to partner Harry Maguire for England vs Iran. (via @FrankieChristou)

👀 Bukayo Saka is set to start for England vs Iran ahead of Phil Foden. [Via @TelegraphSport]

#MCFC #England #WorldCup2022",neutral,Man City’s John Stones is set to partner Harry Maguire for England vs Iran. (via ) Bukayo Saka is set to start for England vs Iran ahead of Phil Foden. [Via ] MCFC England WorldCup2022,neutral,"['Bukayo Saka', 'Phil Foden']"
825,2022-11-20 21:11:00+00:00,0,Twitter Web App,"Cristiano Ronaldo could become the first men's player to score at five World Cups 🐐
#worldcup #fifaworldcup #fifa #football #WorldCup2022 https://t.co/CNxcHSPdqB",positive,Cristiano Ronaldo could become the first men's player to score at five World Cups worldcup fifaworldcup fifa football WorldCup2022,neutral,['Cristiano Ronaldo']
1103,2022-11-20 20:02:10+00:00,1,Metricool,"Happy World Cup Day!!! Which of these soccer stars are going to score more goals in this upcoming World Cup? ⚽ 💥

Paradise Breaks with two absolute bangers 🔥🔥🔥
Mbappe' or Neymar? 

#worldcup2022 #worldcupqatar2022 #neymar #mbappe #worldcup #soccercards https://t.co/xnkZlcZims",positive,Happy World Cup Day!!! Which of these soccer stars are going to score more goals in this upcoming World Cup? Paradise Breaks with two absolute bangers Mbappe' or Neymar? worldcup2022 worldcupqatar2022 neymar mbappe worldcup soccercards,positive,['Neymar']
1264,2022-11-20 19:42:02+00:00,7,Twitter for Android,"What did you think of the opening of the world cup 2022?? Come meet our nfts:
https://t.co/t5j9Fhkc6Z

#WorldCup2022 #FIFAWorldCup #Quatar2022 #NFT #NFTCommmunity #Neymar https://t.co/Tfl8kpjMk0",neutral,What did you think of the opening of the world cup 2022?? Come meet our nfts: WorldCup2022 FIFAWorldCup Quatar2022 NFT NFTCommmunity Neymar,neutral,['Neymar']
1434,2022-11-20 19:21:26+00:00,3,Twitter Web App,"Web3 frens, who's watching the #WorldCup2022? #ENS #neymarjr #brazil https://t.co/K5NzEnrPrI https://t.co/VKbpGnT4Hv",neutral,"Web3 frens, who's watching the WorldCup2022? ENS neymarjr brazil",neutral,['Neymar']
1537,2022-11-20 19:08:13+00:00,25,Twitter Web App,"...including the criminalised gay community, is not permitted to be worn by Harry Kane and the national team of England at the Qatar World Cup finals. #WorldCup2022 #FIFAWorldCup #Football #OneLove #Social",negative,"...including the criminalised gay community, is not permitted to be worn by Harry Kane and the national team of England at the Qatar World Cup finals. WorldCup2022 FIFAWorldCup Football OneLove Social",negative,['Harry Kane']
1544,2022-11-20 19:07:49+00:00,0,Twitter Web App,worldcup in the NEYMAR HANDS #worldcup #worldcup2022 #worldcupqatar #qat... https://t.co/WBcZIcTQd3 via @YouTube,neutral,worldcup in the NEYMAR HANDS worldcup worldcup2022 worldcupqatar qat... via,neutral,['Neymar']
1593,2022-11-20 19:03:08+00:00,0,Twitter for Android,Breaking: Karim Benzema will MISS the World Cup. Confirmed. He will not be part of France 26 man squad. 🚨🇫🇷 #WorldCup2022 https://t.co/92DYdakKz4,negative,Breaking: Karim Benzema will MISS the World Cup. Confirmed. He will not be part of France 26 man squad. WorldCup2022,negative,['Karim Benzema']
1795,2022-11-20 18:44:50+00:00,154,Twitter Media Studio,"It's time for another #CBeebiesBedtimeStories with Harry Kane.

Oi Dog! by Kes and Claire Gray with illustrations by Jim Field screens at 18:50 GMT. 📚

Watch on @BBCiPlayer afterwards.

#BBCWorldCup #WorldCup2022 https://t.co/BoLznuGLH8",neutral,It's time for another CBeebiesBedtimeStories with Harry Kane. Oi Dog! by Kes and Claire Gray with illustrations by Jim Field screens at 18:50 GMT. Watch on afterwards. BBCWorldCup WorldCup2022,neutral,['Harry Kane']
2008,2022-11-20 18:26:02+00:00,6,Twitter for Android,"""I want Lionel Messi to lift Me"" #FIFAWorldCup #WorldCup2022 #WorldCup #Argentina #Messi https://t.co/GcQSgWfMh4",positive,"""I want Lionel Messi to lift Me"" FIFAWorldCup WorldCup2022 WorldCup Argentina Messi",positive,['Lionel Messi']
2231,2022-11-20 18:14:21+00:00,0,Twitter for Android,"#WorldCup2022 The trend for this World Cup is rolling. Taking over from diving, the current leader is Afif with 5, with 4.5 for the Ecuador striker Neymar Jr.",neutral,"WorldCup2022 The trend for this World Cup is rolling. Taking over from diving, the current leader is Afif with 5, with 4.5 for the Ecuador striker Neymar Jr.",positive,['Neymar']
