scraped_at,player_name,query,tweet_id,created_at,author_id,lang,retweet_count,reply_count,like_count,quote_count,impression_count,neg,neu,pos,compound,textblob_polarity,textblob_subjectivity
2026-02-26T16:43:18Z,Aaron Mooy,Aaron Mooy,325173225880649408,2026-01-27T16:43:18.872476Z,7439810,en,73,98,2403,100,74248,0.0,1.0,0.0,0.0,0.2,0.30000000000000004
2026-02-26T16:43:19Z,Aaron Mooy,Aaron Mooy,651969200983535616,2026-02-15T16:43:19.030473Z,1894656,en,482,273,4076,6,31935,0.388,0.612,0.0,-0.6908,-0.25,0.5
2026-02-26T16:43:19Z,Aaron Mooy,Aaron Mooy,784979118910449090,2026-02-24T16:43:19.032076Z,7500966,en,624,309,735,48,92310,0.0,0.682,0.318,0.6369,1.0,0.3
2026-02-26T16:43:19Z,Aaron Mooy,Aaron Mooy,735333026729940901,2026-02-24T16:43:19.032774Z,7877761,en,965,492,3020,83,97090,0.0,0.636,0.364,0.4588,0.0,0.0
2026-02-26T16:43:19Z,Aaron Mooy,Aaron Mooy,709561364571884258,2026-02-23T16:43:19.033189Z,8959655,en,645,172,4819,18,69516,0.426,0.43,0.143,-0.6048,-0.4,0.9
2026-02-26T16:43:19Z,Aaron Mooy,Aaron Mooy,594884513677889537,2026-01-31T16:43:19.033627Z,6536183,en,13,353,4336,8,59959,0.0,0.431,0.569,0.765,0.4047619047619048,0.7000000000000001
2026-02-26T16:43:19Z,Aaron Mooy,Aaron Mooy,781690468406404002,2026-02-03T16:43:19.034008Z,7323660,en,148,102,612,46,85092,0.0,0.73,0.27,0.3802,0.49999999999999994,0.9
2026-02-26T16:43:19Z,Aaron Mooy,Aaron Mooy,873881585685810435,2026-02-18T16:43:19.034318Z,4530084,en,247,127,767,83,18791,0.0,0.682,0.318,0.6369,1.0,0.3
2026-02-26T16:43:19Z,Aaron Mooy,Aaron Mooy,991157467717854686,2026-02-13T16:43:19.035377Z,9597928,en,743,332,315,48,4466,0.426,0.43,0.143,-0.6048,-0.4,0.9
2026-02-26T16:43:19Z,Aaron Mooy,Aaron Mooy,125133287665765586,2026-02-12T16:43:19.036227Z,2295368,en,260,134,2681,49,4048,0.0,0.631,0.369,0.6885,0.9375000000000001,0.9
2026-02-26T16:43:19Z,Aaron Ramsey,Aaron Ramsey,450927555588111471,2026-02-03T16:43:19.037173Z,1756483,en,506,485,1871,36,3222,0.0,0.631,0.369,0.6885,0.9375000000000001,0.9
2026-02-26T16:43:19Z,Aaron Ramsey,Aaron Ramsey,570780143313368891,2026-02-17T16:43:19.037688Z,4113983,en,343,373,636,78,98290,0.388,0.612,0.0,-0.6908,-0.25,0.5
2026-02-26T16:43:19Z,Aaron Ramsey,Aaron Ramsey,787958376662001845,2026-02-24T16:43:19.038120Z,7491148,en,428,397,3954,98,83946,0.0,0.431,0.569,0.765,0.4047619047619048,0.7000000000000001
2026-02-26T16:43:19Z,Aaron Ramsey,Aaron Ramsey,518981479669453933,2026-01-27T16:43:19.038539Z,3076275,en,50,33,77,74,25378,0.0,0.431,0.569,0.765,0.4047619047619048,0.7000000000000001
2026-02-26T16:43:19Z,Aaron Ramsey,Aaron Ramsey,910586226862384618,2026-02-25T16:43:19.038908Z,3567411,en,911,184,257,12,51976,0.0,0.636,0.364,0.4588,0.0,0.0
2026-02-26T16:43:19Z,Aaron Ramsey,Aaron Ramsey,620585499970232664,2026-02-23T16:43:19.039292Z,1622926,en,134,475,1742,96,51011,0.0,0.73,0.27,0.3802,0.49999999999999994,0.9
2026-02-26T16:43:19Z,Aaron Ramsey,Aaron Ramsey,859737489888266167,2026-02-20T16:43:19.039736Z,7609979,en,235,244,1007,28,16591,0.0,0.636,0.364,0.4588,0.0,0.0
2026-02-26T16:43:19Z,Aaron Ramsey,Aaron Ramsey,270946741912252812,2026-02-13T16:43:19.040106Z,3523491,en,918,113,1357,16,79762,0.0,0.73,0.27,0.3802,0.49999999999999994,0.9
2026-02-26T16:43:19Z,Aaron Ramsey,Aaron Ramsey,894503715533944628,2026-01-31T16:43:19.040434Z,9293130,en,300,119,2666,21,62236,0.0,0.431,0.569,0.765,0.4047619047619048,0.7000000000000001
2026-02-26T16:43:19Z,Aaron Ramsey,Aaron Ramsey,325236279405213801,2026-02-13T16:43:19.040820Z,2581112,en,730,380,3192,42,88494,0.388,0.612,0.0,-0.6908,-0.25,0.5
2026-02-26T16:43:19Z,Abdelhamid Sabiri,Abdelhamid Sabiri,248387989167027420,2026-02-26T16:43:19.041452Z,6134633,en,969,202,1319,46,21239,0.0,1.0,0.0,0.0,0.2,0.30000000000000004
2026-02-26T16:43:19Z,Abdelhamid Sabiri,Abdelhamid Sabiri,443846188384070827,2026-01-30T16:43:19.041876Z,2658671,en,444,0,2134,66,39602,0.0,0.682,0.318,0.6369,1.0,0.3
2026-02-26T16:43:19Z,Abdelhamid Sabiri,Abdelhamid Sabiri,654594918208747832,2026-02-16T16:43:19.042284Z,9140444,en,114,161,4747,47,15669,0.0,0.682,0.318,0.6369,1.0,0.3
2026-02-26T16:43:19Z,Abdelhamid Sabiri,Abdelhamid Sabiri,735809681684301569,2026-02-01T16:43:19.043431Z,7467557,en,86,190,917,57,12499,0.426,0.43,0.143,-0.6048,-0.4,0.9
2026-02-26T16:43:19Z,Abdelhamid Sabiri,Abdelhamid Sabiri,254009338108544274,2026-02-21T16:43:19.043955Z,4156530,en,534,100,1382,50,61736,0.388,0.612,0.0,-0.6908,-0.25,0.5
2026-02-26T16:43:19Z,Abdelhamid Sabiri,Abdelhamid Sabiri,404920542356266558,2026-02-17T16:43:19.044393Z,8393021,en,408,450,4622,67,39158,0.0,0.431,0.569,0.765,0.4047619047619048,0.7000000000000001
2026-02-26T16:43:19Z,Abdelhamid Sabiri,Abdelhamid Sabiri,156748146584841099,2026-02-07T16:43:19.044846Z,6735755,en,378,9,3451,52,83339,0.0,0.431,0.569,0.765,0.4047619047619048,0.7000000000000001
2026-02-26T16:43:19Z,Abdelhamid Sabiri,Abdelhamid Sabiri,354226958136045722,2026-02-01T16:43:19.045219Z,6616140,en,838,72,2573,25,76245,0.0,1.0,0.0,0.0,0.2,0.30000000000000004
2026-02-26T16:43:19Z,Abdelhamid Sabiri,Abdelhamid Sabiri,315740787500450586,2026-02-09T16:43:19.045547Z,5204264,en,397,314,1263,56,95722,0.388,0.612,0.0,-0.6908,-0.25,0.5
2026-02-26T16:43:19Z,Abdelhamid Sabiri,Abdelhamid Sabiri,496559286331726492,2026-02-20T16:43:19.045976Z,3159498,en,63,116,65,100,8184,0.0,0.431,0.569,0.765,0.4047619047619048,0.7000000000000001
2026-02-26T16:43:19Z,Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan Al Haj Fadlalla,268053853231388942,2026-02-25T16:43:19.046618Z,7479547,en,624,104,3931,51,43471,0.351,0.531,0.118,-0.6048,-0.4,0.9
2026-02-26T16:43:19Z,Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan Al Haj Fadlalla,119900947724568489,2026-02-06T16:43:19.047160Z,3086089,en,869,208,4861,23,53868,0.0,0.741,0.259,0.6369,1.0,0.3
2026-02-26T16:43:19Z,Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan Al Haj Fadlalla,911991116212922435,2026-02-08T16:43:19.047562Z,8542537,en,249,485,4986,40,65493,0.0,0.741,0.259,0.6369,1.0,0.3
2026-02-26T16:43:19Z,Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan Al Haj Fadlalla,386112665871395809,2026-02-06T16:43:19.047945Z,4949311,en,501,51,706,45,98023,0.322,0.678,0.0,-0.6908,-0.25,0.5
2026-02-26T16:43:19Z,Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan Al Haj Fadlalla,322448506909758677,2026-02-18T16:43:19.048383Z,5100396,en,707,289,4354,38,55756,0.0,0.794,0.206,0.3802,0.49999999999999994,0.9
2026-02-26T16:43:19Z,Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan Al Haj Fadlalla,292565056407648752,2026-01-31T16:43:19.048728Z,3863931,en,221,211,4712,2,92136,0.351,0.531,0.118,-0.6048,-0.4,0.9
2026-02-26T16:43:19Z,Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan Al Haj Fadlalla,337936587080573045,2026-02-10T16:43:19.049173Z,9348391,en,87,372,2026,48,82089,0.0,0.741,0.259,0.6369,1.0,0.3
2026-02-26T16:43:19Z,Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan Al Haj Fadlalla,221561317878113227,2026-02-25T16:43:19.049547Z,4295589,en,906,88,4417,71,85158,0.0,0.548,0.452,0.765,0.4047619047619048,0.7000000000000001
