player_name,season,season_encoded,team,position,position_encoded,current_age,market_value_eur,log_market_value,market_value_tier_encoded,market_value_source,age_squared,age_decay_factor,career_stage,pos_Defender,pos_Forward,pos_Goalkeeper,pos_Midfielder,matches,minutes_played,minutes_per_match,minutes_played_tier_encoded,goals,assists,shots,passes_total,passes_complete,pass_accuracy_pct,pass_accuracy_tier_encoded,tackles_total,tackles_won,tackle_success_rate,dribbles,interceptions,fouls_committed,goals_per90,assists_per90,shots_per90,goal_contributions_per90,shot_conversion_rate,assist_to_goal_ratio,defensive_actions_per90,dribbles_per90,attacking_output_index,total_injuries,total_days_injured,total_matches_missed,most_common_injury,injury_burden_index,availability_rate,injury_frequency,total_injuries_tier_encoded,total_tweets,total_likes,positive_tweets,negative_tweets,tweet_engagement_rate,social_buzz_score,transfer_attractiveness_score,vader_positive_score,vader_negative_score,vader_compound_score,tb_polarity,tb_subjectivity,positive_count,negative_count,neutral_count,sentiment_label,actual_value,uni_lstm_pred,multi_lstm_pred,encoder_lstm_pred,final_prediction
Lionel Andrés Messi Cuccittini,2019/20,1,Barcelona,Forward,4,25,67500000.0,18.0276,4,estimated,625,1.0,Prime,0,1,0,0,35,3023,86.3714,3,30,10,195,2417,1989,82.3,2,33,9,0.2727,229,7,22,0.8932,0.2977,5.8055,1.1909,0.1538,0.3333,1.1909,6.8177,8.223,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,88.0797,0.1733,0.1283,0.0921,0.12,0.7767,2,1,0,Positive,,,,,60716012.0
Antoine Griezmann,2019/20,1,Barcelona,Forward,4,25,37500000.0,17.4399,3,estimated,625,1.0,Prime,0,1,0,0,33,2360,71.5152,2,12,8,64,1214,1073,88.4,3,54,8,0.1481,31,11,15,0.4576,0.3051,2.4407,0.7627,0.1875,0.6667,2.4788,1.1822,3.5581,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,81.7368,0.0603,0.1353,-0.151,0.3083,0.3833,0,2,1,Negative,,,,,32996218.0
Ousmane Dembélé,2019/20,1,Barcelona,Midfielder,3,25,19500000.0,16.7859,2,estimated,625,1.0,Prime,0,0,0,1,27,1565,57.963,2,5,3,47,907,756,83.4,2,27,2,0.0741,107,14,13,0.2875,0.1725,2.7029,0.4601,0.1064,0.6,2.3578,6.1534,4.4051,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,80.1995,0.172,0.0853,0.2107,0.2944,0.5167,1,0,2,Positive,,,,,16765940.0
Anssumane Fati,2019/20,1,Barcelona,Midfielder,3,25,13500000.0,16.4182,2,estimated,625,1.0,Prime,0,0,0,1,7,431,61.5714,1,4,0,14,205,174,84.9,2,12,1,0.0833,25,1,5,0.8353,0.0,2.9234,0.8353,0.2857,0.0,2.7146,5.2204,5.5336,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,81.6069,0.108,0.1527,-0.1527,-0.2333,0.0667,1,2,0,Negative,,,,,12829393.0
Pedro González López,2019/20,1,Barcelona,Defender,2,25,16500000.0,16.6189,2,estimated,625,1.0,Prime,1,0,0,0,35,2240,64.0,2,3,3,22,1644,1437,87.4,3,55,14,0.2545,41,35,23,0.1205,0.1205,0.8839,0.2411,0.1364,1.0,3.6161,1.6473,1.5388,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.766,0.0613,0.1893,-0.1332,0.2333,0.6593,1,2,0,Negative,,,,,15238825.0
Jordi Alba Ramos,2019/20,1,Barcelona,Defender,2,25,16500000.0,16.6189,2,estimated,625,1.0,Prime,1,0,0,0,33,2890,87.5758,3,3,3,24,2815,2409,85.6,3,60,6,0.1,35,39,22,0.0934,0.0934,0.7474,0.1869,0.125,1.0,3.083,1.09,1.1678,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.6695,0.1907,0.156,-0.0291,0.2528,0.3833,1,1,1,Neutral,,,,,15224373.0
Francisco António Machado Mota de Castro Trincão,2019/20,1,Barcelona,Midfielder,3,25,15000000.0,16.5236,2,estimated,625,1.0,Prime,0,0,0,1,25,619,24.76,1,3,2,20,347,288,83.0,2,16,1,0.0625,31,4,10,0.4362,0.2908,2.9079,0.727,0.15,0.6667,2.9079,4.5073,4.6963,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,79.9915,0.1363,0.0647,0.093,0.1833,0.35,1,1,1,Positive,,,,,14443967.0
Martin Braithwaite Christensen,2019/20,1,Barcelona,Midfielder,3,25,13500000.0,16.4182,2,estimated,625,1.0,Prime,0,0,0,1,26,951,36.5769,1,2,2,22,237,190,80.2,2,20,3,0.15,16,7,11,0.1893,0.1893,2.082,0.3785,0.0909,1.0,2.5552,1.5142,2.4416,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.5589,0.084,0.0707,0.0001,0.3083,0.5583,1,1,1,Neutral,,,,,12784450.0
Óscar Mingueza García,2019/20,1,Barcelona,Defender,2,25,13500000.0,16.4182,2,estimated,625,1.0,Prime,1,0,0,0,24,1677,69.875,2,2,2,9,1482,1370,92.4,3,72,12,0.1667,9,23,23,0.1073,0.1073,0.483,0.2147,0.2222,1.0,5.0984,0.483,0.9231,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.941,0.0417,0.2057,-0.2911,0.2722,0.4278,0,2,1,Negative,13500000.0,10517479.0,9447379.956599656,6453120.863257688,13434964.0
Ronald Federico Araújo da Silva,2019/20,1,Barcelona,Midfielder,3,25,10500000.0,16.1669,2,estimated,625,1.0,Prime,0,0,0,1,21,1239,59.0,2,2,0,10,775,718,92.6,3,34,13,0.3824,4,9,9,0.1453,0.0,0.7264,0.1453,0.2,0.0,3.1235,0.2906,0.8862,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.4431,0.1447,0.0833,0.1084,-0.0972,0.3294,1,1,1,Positive,10500000.0,11233211.0,12730825.833161404,12345935.064288864,8964522.0
Luis Jesús Rioja González,2019/20,1,Deportivo Alavés,Midfielder,3,25,10500000.0,16.1669,2,estimated,625,1.0,Prime,0,0,0,1,2,116,58.0,1,2,0,2,23,15,65.2,1,4,1,0.25,8,1,0,1.5517,0.0,1.5517,1.5517,1.0,0.0,3.8793,6.2069,7.2931,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.8334,0.0,0.1633,-0.2673,0.3417,0.3,0,2,1,Negative,,,,,8436034.0
Philippe Coutinho Correia,2019/20,1,Barcelona,Midfielder,3,25,13500000.0,16.4182,2,estimated,625,1.0,Prime,0,0,0,1,11,629,57.1818,1,2,2,27,506,440,87.0,3,16,3,0.1875,17,4,9,0.2862,0.2862,3.8633,0.5723,0.0741,1.0,2.8617,2.4324,4.0922,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,80.0747,0.0893,0.0993,0.0438,0.1,0.4,1,1,1,Neutral,,,,,12783601.0
