player_name,shots,goals,passes,total_minutes
aaron cresswell,7,0.0,396.0,1222
aaron lennon,9,0.0,225.0,986
aaron ramsey,12,1.0,397.0,1411
abbey-leigh stringer,3,0.0,726.0,2863
abbi grant,23,2.0,315.0,1806
abbie mcmanus,5,0.0,1510.0,4365
abby erceg,1,0.0,51.0,178
abdoul karim yoda,2,0.0,20.0,136
abdoulaye ba,1,0.0,45.0,167
abdoulaye doucouré,1,0.0,37.0,137
abdul rahman baba,4,0.0,228.0,783
abdón prats bastidas,1,0.0,3.0,23
abel eduardo balbo,3,1.0,22.0,100
abel ruiz ortega,1,0.0,12.0,60
abigail harrison,16,1.0,259.0,1633
adam david lallana,14,1.0,378.0,1716
adam johnson,8,0.0,412.0,1440
adam smith,6,0.0,476.0,1649
adelina engman,7,2.0,133.0,624
adlène guédioura,2,0.0,114.0,420
adnan januzaj,1,0.0,14.0,76
adrian mutu,1,0.0,62.0,259
adriana kristina leon,28,6.0,290.0,1636
adriano correia claro,30,2.0,2312.0,7063
adrienne jordan,2,0.0,629.0,2165
adrián embarba blázquez,5,0.0,51.0,291
adrián gonzález morales,6,0.0,86.0,337
adrián lópez álvarez,3,0.0,103.0,441
adrián marín gómez,1,0.0,36.0,131
aileen whelan,60,6.0,869.0,4675
aitana bonmati conca,1,0.0,41.0,143
alan hutton,3,0.0,398.0,1216
alan shearer,2,0.0,59.0,278
alan smith,5,1.0,106.0,453
alan stubbs,3,0.0,62.0,177
alanna stephanie kennedy,2,0.0,148.0,454
alberto bueno calvo,6,1.0,120.0,504
alberto de la bella madureño,3,1.0,159.0,515
alberto mateus contreiras gonçalves,4,1.0,75.0,450
alberto moreno pérez,8,2.0,510.0,1593
alberto paloschi,3,0.0,52.0,261
aleix garcía serrano,1,0.0,53.0,195
aleix vidal parreu,14,2.0,949.0,3184
alejandro alfaro ligero,1,0.0,14.0,79
alejandro arribas garrido,1,0.0,62.0,315
alejandro barrera garcía,1,0.0,9.0,42
alejandro bergantiños garcía,2,2.0,169.0,643
alejandro gallar falguera,1,1.0,19.0,80
alejandro granell nogué,1,0.0,89.0,332
alejandro lópez sánchez,2,0.0,71.0,334
alejandro menéndez díez,4,0.0,34.0,217
alejandro pozo pozo,1,0.0,59.0,179
aleksandar katai,1,0.0,19.0,96
aleksandar kolarov,10,1.0,532.0,1537
aleksandar mitrović,29,2.0,279.0,1564
aleksandar pantić,1,0.0,53.0,182
alen halilović,3,0.0,70.0,289
alessandro altobelli,3,0.0,29.0,173
alessandro nesta,1,0.0,94.0,278
alessandro renica,4,1.0,88.0,278
alex greenwood,1,0.0,159.0,451
alex iwobi,8,1.0,136.0,582
alex oxlade-chamberlain,2,0.0,68.0,260
alex rae,1,0.0,89.0,364
alex sandro lobo silva,1,0.0,47.0,155
alexander alegría moreno,3,1.0,27.0,162
alexander banor tettey,5,1.0,336.0,1113
alexander isak,7,1.0,35.0,203
alexander szymanowski,3,0.0,25.0,124
alexandra morgan carrasco,10,5.0,26.0,146
alexandra popp,9,1.0,74.0,410
alexandra riley,1,0.0,242.0,743
alexandre dimitri song-billong,4,0.0,711.0,2379
alexandre rodrigues da silva,2,1.0,34.0,225
alexia putellas segura,7,0.0,111.0,448
alexis alejandro sánchez sánchez,68,11.0,1068.0,4849
alfred john momar n''diaye,2,0.0,80.0,375
alfreð finnbogason,1,0.0,12.0,87
ali johnson,1,0.0,28.0,97
alia guagni,1,0.0,81.0,237
alisha lehmann,52,9.0,623.0,3822
allan romeo nyom,2,0.0,450.0,1531
allie long,1,0.0,20.0,69
allyson swaby,2,0.0,68.0,241
almen abdi,11,2.0,318.0,1252
aly cissokho,1,0.0,418.0,1180
amalie vevle eikeland,23,2.0,279.0,1752
amanda nildén,4,1.0,144.0,734
amanda sampedro bustos,1,0.0,35.0,143
amandine henry,7,1.0,158.0,531
amber gaylor,9,1.0,215.0,1221
amdy moustapha faye,1,0.0,67.0,311
amel majri,5,0.0,222.0,640
amelia hazard,1,0.0,9.0,60
amy goddard,4,0.0,279.0,867
amy rodgers,5,0.0,310.0,1314
amy turner,8,0.0,524.0,1513
anaitz arbilla zabala,3,0.0,228.0,763
anatoliy tymoshchuk,2,0.0,80.0,237
ander barrenetxea muguruza,3,0.0,21.0,147
ander capa rodríguez,3,0.0,130.0,564
ander herrera agüera,11,2.0,547.0,1967
ander iturraspe derteano,2,0.0,161.0,507
anderson luís de souza,2,1.0,42.0,200
andrea carnevale,7,2.0,46.0,327
andrea pirlo,5,0.0,251.0,750
andrea sánchez falcón,1,0.0,17.0,89
andressa alves da silva,4,0.0,75.0,311
andrew philip king,9,1.0,178.0,598
andrew robertson,1,0.0,94.0,280
andrew surman,2,0.0,638.0,1962
andriy shevchenko,6,0.0,15.0,133
andros townsend,11,2.0,152.0,709
andré ayew pelé,25,7.0,384.0,1897
andré filipe tavares gomes,18,3.0,932.0,3656
andré miguel valente silva,1,0.0,24.0,122
andrés iniesta luján,98,3.0,5998.0,20502
andy carroll,12,3.0,60.0,293
andy cole,2,0.0,59.0,249
angela addison,3,1.0,48.0,340
angelo di livio,2,0.0,23.0,90
angharad james,23,1.0,1208.0,4437
anna anvegård,5,0.0,39.0,186
anna filbey,1,0.0,529.0,1722
