player_name,sentiment_score,sentiment_label
aaron cresswell,0.40347363834422656,positive
aaron ramsey,0.0,neutral
abdoulaye ba,0.0,neutral
abdoulaye doucouré,0.158548167539267,positive
abdul rahman baba,0.0,neutral
abdón prats bastidas,0.0,neutral
abel ruiz ortega,0.0,neutral
adam smith,0.15331599999999998,positive
adnan januzaj,0.0,neutral
adrián embarba blázquez,0.0,neutral
adrián marín gómez,0.0,neutral
alberto moreno pérez,0.0,neutral
alberto paloschi,0.0,neutral
aleix garcía serrano,0.0,neutral
alejandro gallar falguera,0.0,neutral
alejandro menéndez díez,0.0,neutral
alejandro pozo pozo,0.0,neutral
aleksandar katai,0.0,neutral
aleksandar mitrović,0.0,neutral
alen halilović,0.0,neutral
alex iwobi,0.24163761467889908,positive
alex oxlade-chamberlain,0.11340362116991644,positive
alex sandro lobo silva,0.0,neutral
alexander isak,0.21477116182572614,positive
alexis alejandro sánchez sánchez,0.0,neutral
aly cissokho,0.0,neutral
anaitz arbilla zabala,0.0,neutral
ander barrenetxea muguruza,0.0,neutral
ander herrera agüera,0.0,neutral
andrew robertson,0.0990970744680851,positive
andros townsend,0.0,neutral
andré filipe tavares gomes,0.0,neutral
andré miguel valente silva,0.0,neutral
anssumane fati,0.0,neutral
ante budimir,0.0,neutral
anthony martial,0.2149036666666667,positive
antoine griezmann,0.0,neutral
antonio latorre grueso,0.0,neutral
armindo tué na bangna,0.0,neutral
arthur henrique ramos de oliveira melo,0.0,neutral
arturo erasmo vidal pardo,0.0,neutral
ashley westwood,0.0,neutral
ashley young,0.0867875,positive
asier illarramendi andonegi,0.0,neutral
aymeric laporte,0.17795992509363298,positive
ayoze pérez gutiérrez,0.0,neutral
aïssa mandi,0.0,neutral
bakary sako,0.0,neutral
ben davies,0.13181733333333334,positive
bernard mensah,0.0,neutral
bertrand isidore traoré,0.0,neutral
borja gonzález tomás,0.0,neutral
borja iglesias quintas,0.0,neutral
borja mayoral moya,0.0,neutral
brais méndez portela,0.0,neutral
brendan joel zibusiso galloway,0.0,neutral
bryan oviedo,0.0,neutral
callum mcmanaman,0.0,neutral
callum wilson,0.17153583333333333,positive
cameron brannagan,0.0,neutral
carl jenkinson,0.0,neutral
carles aleña castillo,0.0,neutral
carles gil de pareja vicent,0.0,neutral
carles pérez sayol,0.0,neutral
carlos arturo bacca ahumada,0.0,neutral
carlos fernández luna,0.0,neutral
carlos henrique casimiro,0.0,neutral
carlos joaquín correa,0.0,neutral
carlos neva tey,0.0,neutral
carlos soler barragán,0.0,neutral
celso borges mora,0.0,neutral
chancel mbemba mangulu,0.0,neutral
cheikhou kouyaté,0.006318749999999992,neutral
chris smalling,0.0,neutral
christian benteke liolo,0.0,neutral
