player_name,season,season_encoded,team,position,position_encoded,current_age,market_value_eur,log_market_value,market_value_tier_encoded,market_value_source,age_squared,age_decay_factor,career_stage,pos_Defender,pos_Forward,pos_Goalkeeper,pos_Midfielder,matches,minutes_played,minutes_per_match,minutes_played_tier_encoded,goals,assists,shots,passes_total,passes_complete,pass_accuracy_pct,pass_accuracy_tier_encoded,tackles_total,tackles_won,tackle_success_rate,dribbles,interceptions,fouls_committed,goals_per90,assists_per90,shots_per90,goal_contributions_per90,shot_conversion_rate,assist_to_goal_ratio,defensive_actions_per90,dribbles_per90,attacking_output_index,total_injuries,total_days_injured,total_matches_missed,most_common_injury,injury_burden_index,availability_rate,injury_frequency,total_injuries_tier_encoded,total_tweets,total_likes,positive_tweets,negative_tweets,tweet_engagement_rate,social_buzz_score,transfer_attractiveness_score,vader_positive_score,vader_negative_score,vader_compound_score,tb_polarity,tb_subjectivity,positive_count,negative_count,neutral_count,sentiment_label,lstm_pred
Aarón Escandell Banacloche,2022/23,4,Granada,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,1,90,90.0,1,0,0,0,28,10,35.7,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,56.1136,0.2133,0.0833,0.0978,0.0,0.3833,2,1,0,Positive,7500000.0
Aarón Escandell Banacloche,2023/24,5,Granada,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,1,90,90.0,1,0,0,0,28,10,35.7,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,56.1136,0.0,0.2523,-0.4503,0.0417,0.5648,0,3,0,Negative,6333333.333333333
Aarón Martín Caricol,2022/23,4,Celta Vigo,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,1,90,90.0,1,0,0,0,28,24,85.7,3,4,1,0.25,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.3,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,71.5636,0.2553,0.1327,0.2838,0.2587,0.4476,2,0,1,Positive,7500000.0
Aarón Martín Caricol,2023/24,5,Celta Vigo,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,1,90,90.0,1,0,0,0,28,24,85.7,3,4,1,0.25,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.3,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,71.5636,0.0,0.1633,-0.2673,0.3417,0.3,0,2,1,Negative,6333333.333333333
Achraf Grujic,2022/23,4,Borussia Dortmund,Forward,4,28,21106162.0,16.8651,2,original,784,0.8607,Experienced,0,1,0,0,36,2340,65.0,2,21,15,153,1485,1388,93.5,3,63,48,0.7619,87,69,22,0.8077,0.5769,5.8846,1.3846,0.1373,0.7143,5.0769,3.3462,7.5231,3,111,6,Hip flexor strain,333,0.8571,0.75,1,5,6670,4,1,1334.0,6670.0,413.3505,0.127,0.0237,0.244,0.4627,0.5474,3,0,3,Positive,14759236.414708043
Achraf Grujic,2023/24,5,Borussia Dortmund,Forward,4,29,21106162.0,16.8651,2,original,841,0.8187,Experienced,0,1,0,0,36,2340,65.0,2,21,15,153,1485,1388,93.5,3,63,48,0.7619,87,69,22,0.8077,0.5769,5.8846,1.3846,0.1373,0.7143,5.0769,3.3462,7.5231,3,111,6,Hip flexor strain,333,0.8571,0.6,1,5,6670,4,1,1334.0,6670.0,414.8505,0.0447,0.1615,-0.1656,0.3583,0.3667,1,4,1,Negative,11752165.976632075
Achraf Kowalczyk,2022/23,4,Olympique Lyon,Defender,2,28,61783878.0,17.9392,4,original,784,0.8607,Experienced,1,0,0,0,9,477,53.0,1,0,0,0,789,672,85.2,3,67,44,0.6567,34,10,8,0.0,0.0,0.0,0.0,0.0,0.0,14.5283,6.4151,1.9245,0,0,0,,0,1.0,0.0,0,1,4265,1,0,4265.0,4265.0,292.5751,0.0613,0.1013,-0.036,-0.1417,0.1278,1,1,1,Neutral,63801197.32731387
Achraf Kowalczyk,2023/24,5,Olympique Lyon,Defender,2,29,61783878.0,17.9392,4,original,841,0.8187,Experienced,1,0,0,0,9,477,53.0,1,0,0,0,789,672,85.2,3,67,44,0.6567,34,10,8,0.0,0.0,0.0,0.0,0.0,0.0,14.5283,6.4151,1.9245,0,0,0,,0,1.0,0.0,0,1,4265,1,0,4265.0,4265.0,292.5751,0.1987,0.1347,0.0877,0.1917,0.4611,2,1,0,Positive,64826462.72912884
Achraf Sorensen,2022/23,4,PSV Eindhoven,Defender,2,28,76612300.0,18.1543,4,original,784,0.8607,Experienced,1,0,0,0,18,954,53.0,1,1,9,17,1180,808,68.5,1,90,68,0.7556,57,29,3,0.0943,0.8491,1.6038,0.9434,0.0588,9.0,11.2264,5.3774,4.3962,0,0,0,,0,1.0,0.0,0,3,6177,0,2,2059.0,6177.0,387.3029,0.063,0.1708,-0.2271,-0.1267,0.5492,1,2,1,Negative,78330567.57971689
Achraf Sorensen,2023/24,5,PSV Eindhoven,Defender,2,29,76612300.0,18.1543,4,original,841,0.8187,Experienced,1,0,0,0,18,954,53.0,1,1,9,17,1180,808,68.5,1,90,68,0.7556,57,29,3,0.0943,0.8491,1.6038,0.9434,0.0588,9.0,11.2264,5.3774,4.3962,0,0,0,,0,1.0,0.0,0,3,6177,0,2,2059.0,6177.0,387.3029,0.0765,0.1778,-0.2186,-0.0333,0.2333,0,3,1,Negative,78502417.5978859
Achraf Thomas,2022/23,4,Liverpool,Midfielder,3,28,55967501.0,17.8403,3,original,784,0.8607,Experienced,0,0,0,1,22,1980,90.0,2,5,5,15,805,648,80.5,2,23,16,0.6957,134,46,4,0.2273,0.2273,0.6818,0.4545,0.3333,1.0,3.1364,6.0909,3.3045,0,0,0,,0,1.0,0.0,0,1,3956,0,0,3956.0,3956.0,277.5874,0.0,0.154,-0.2868,0.125,0.3833,0,2,1,Negative,59610541.19861961
Achraf Thomas,2023/24,5,Liverpool,Midfielder,3,29,55967501.0,17.8403,3,original,841,0.8187,Experienced,0,0,0,1,22,1980,90.0,2,5,5,15,805,648,80.5,2,23,16,0.6957,134,46,4,0.2273,0.2273,0.6818,0.4545,0.3333,1.0,3.1364,6.0909,3.3045,0,0,0,,0,1.0,0.0,0,1,3956,0,0,3956.0,3956.0,277.5874,0.076,0.0993,-0.0654,-0.0667,0.2333,1,1,1,Negative,60180761.510255896
Adnan Januzaj,2022/23,4,Real Sociedad,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,2,85,42.5,1,0,0,4,26,21,80.8,2,3,0,0.0,6,0,1,0.0,0.0,4.2353,0.0,0.0,0.0,3.1765,6.3529,4.0235,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.6789,0.084,0.199,-0.2611,0.0783,0.6433,1,2,0,Negative,7500000.0
Adnan Januzaj,2023/24,5,Real Sociedad,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,2,85,42.5,1,0,0,4,26,21,80.8,2,3,0,0.0,6,0,1,0.0,0.0,4.2353,0.0,0.0,0.0,3.1765,6.3529,4.0235,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.6789,0.0827,0.0853,-0.0086,0.2389,0.4056,0,0,3,Neutral,6333333.333333333
Adrien Hoffmann,2022/23,4,Celtic,Midfielder,3,28,74915393.0,18.1319,4,original,784,0.8607,Experienced,0,0,0,1,20,1540,77.0,2,6,10,55,1596,1160,72.7,2,11,7,0.6364,116,42,35,0.3506,0.5844,3.2143,0.9351,0.1091,1.6667,3.0974,6.7792,5.8617,2,76,10,Abdominal problems,152,0.6667,0.5,1,1,3919,1,0,3919.0,3919.0,271.1496,0.1373,0.2117,-0.1947,0.0,0.3667,1,2,0,Negative,78569710.24724755
Adrien Hoffmann,2023/24,5,Celtic,Midfielder,3,29,74915393.0,18.1319,4,original,841,0.8187,Experienced,0,0,0,1,20,1540,77.0,2,6,10,55,1596,1160,72.7,2,11,7,0.6364,116,42,35,0.3506,0.5844,3.2143,0.9351,0.1091,1.6667,3.0974,6.7792,5.8617,2,76,10,Abdominal problems,152,0.6667,0.4,1,1,3919,1,0,3919.0,3919.0,272.1496,0.0,0.146,-0.224,0.05,0.1,0,2,1,Negative,78394311.20817894
