player_name,season,season_encoded,team,position,position_encoded,current_age,market_value_eur,log_market_value,market_value_tier_encoded,market_value_source,age_squared,age_decay_factor,career_stage,pos_Defender,pos_Forward,pos_Goalkeeper,pos_Midfielder,matches,minutes_played,minutes_per_match,minutes_played_tier_encoded,goals,assists,shots,passes_total,passes_complete,pass_accuracy_pct,pass_accuracy_tier_encoded,tackles_total,tackles_won,tackle_success_rate,dribbles,interceptions,fouls_committed,goals_per90,assists_per90,shots_per90,goal_contributions_per90,shot_conversion_rate,assist_to_goal_ratio,defensive_actions_per90,dribbles_per90,attacking_output_index,total_injuries,total_days_injured,total_matches_missed,most_common_injury,injury_burden_index,availability_rate,injury_frequency,total_injuries_tier_encoded,total_tweets,total_likes,positive_tweets,negative_tweets,tweet_engagement_rate,social_buzz_score,transfer_attractiveness_score,vader_positive_score,vader_negative_score,vader_compound_score,tb_polarity,tb_subjectivity,positive_count,negative_count,neutral_count,sentiment_label,performance_index,injury_impact,overall_sentiment,popularity_index,xgb_pred,lstm_pred,final_pred
Lionel AndrÃÂ©s Messi Cuccittini,2023/24,5,Barcelona,Forward,4,29,36000000,17.399,3,estimated,841,0.8187,Experienced,0,1,0,0,35,3023,86.3714,3,30,10,195,2417,1989,82.3,2,33,9,0.2727,229,7,22,0.8932,0.2977,5.8055,1.1909,0.1538,0.3333,1.1909,6.8177,8.223,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0,86.8225,0.0,0.24,-0.4074,0.0417,0.5648,0,3,0,Negative,3.1379666666666672,0.0,-0.1828499999999999,0,53229452.0,38886884.34009598,44623912.60405759
Matheus Brown,2023/24,5,Sporting CP,Defender,2,29,27066114,17.1138,2,original,841,0.8187,Experienced,1,0,0,0,8,552,69.0,1,0,3,8,1282,828,64.6,1,79,58,0.7342,1,42,29,0.0,0.4891,1.3043,0.4891,0.0,3.0,19.7283,0.163,1.6793,1,51,6,Concussion,51,0.5714,0.2,1,2,3687,0,0,1843.5,3687,251.3338,0.0827,0.1843,-0.1589,0.2944,0.4833,0,1,2,Negative,0.7228,25.7143,0.0677499999999999,7376,31339304.0,28103526.283973243,29397837.770383947
Sergej Smith,2023/24,5,Chelsea,Defender,2,29,21235108,16.8712,2,original,841,0.8187,Experienced,1,0,0,0,3,162,54.0,1,1,0,17,2911,2052,70.5,2,106,66,0.6226,91,9,50,0.5556,0.0,9.4444,0.5556,0.0588,0.0,63.8889,50.5556,21.5556,3,91,8,Muscle strain,273,0.2727,0.6,1,4,5221,1,0,1305.25,5221,353.6393,0.1793,0.08,0.1439,0.2042,0.3458,2,1,1,Positive,7.370399999999999,136.86365,0.1740499999999999,10446,19058140.0,23286441.90597232,21595121.143583387
Matheus Sorensen,2023/24,5,Monaco,Defender,2,29,63019080,17.9589,4,original,841,0.8187,Experienced,1,0,0,0,34,2006,59.0,2,5,16,23,852,635,74.6,2,73,40,0.5479,89,28,56,0.2243,0.7178,1.0319,0.9422,0.2174,3.2,4.5314,3.993,3.8225,2,95,5,Ankle sprain,190,0.8718,0.4,1,3,5685,2,1,1895.0,5685,358.6407,0.0,0.2645,-0.4693,0.2775,0.7874,0,4,0,Negative,1.5881999999999998,95.0641,-0.0958999999999999,11373,61274284.0,63649204.8437351,62699236.90624106
Noussair Romano,2023/24,5,Borussia Dortmund,Forward,4,29,9309345,16.0465,1,original,841,0.8187,Experienced,0,1,0,0,22,1452,66.0,2,11,4,53,2372,1816,76.6,2,76,55,0.7237,166,1,7,0.6818,0.2479,3.2851,0.9298,0.2075,0.3636,4.7727,10.2893,7.2707,1,37,2,Back injury,37,0.9167,0.2,1,3,5655,3,0,1885.0,5655,361.3124,0.0868,0.0792,0.0149,0.375,0.5543,1,1,3,Neutral,2.7334666666666667,18.54165,0.19495,11313,36672092.0,8485284.881620055,19760007.928972032
Jude Andersen,2023/24,5,Boavista,Defender,2,29,47778200,17.6821,3,original,841,0.8187,Experienced,1,0,0,0,23,1679,73.0,2,7,10,58,1198,1121,93.6,3,92,69,0.75,97,14,24,0.3752,0.536,3.109,0.9113,0.1207,1.4286,5.682,5.1995,5.3121,0,0,0,,0,1.0,0.0,0,5,9181,5,0,1836.2,9181,545.4623,0.0763,0.154,-0.0513,0.5359,0.5684,2,4,1,Negative,2.0744333333333334,0.0,0.2423,18367,47164304.0,46241824.61041334,46610816.766248
Niklas Dubois,2023/24,5,Wolfsburg,Midfielder,3,29,66162399,18.0076,4,original,841,0.8187,Experienced,0,0,0,1,35,2205,63.0,2,0,16,8,2283,1725,75.6,2,10,5,0.5,166,24,20,0.0,0.6531,0.3265,0.6531,0.0,16.0,1.3878,6.7755,3.502,1,11,0,Shoulder injury,11,1.0,0.2,1,1,4381,1,0,4381.0,4381,295.9983,0.131,0.1613,-0.0019,0.3139,0.6926,1,2,0,Neutral,1.3850333333333331,5.5,0.156,8763,26967952.0,65266191.831141055,49946896.09868463
Pablo Jovic,2023/24,5,Sporting CP,Defender,2,29,74383168,18.1247,4,original,841,0.8187,Experienced,1,0,0,0,6,306,51.0,1,1,0,9,1063,887,83.5,2,104,50,0.4808,175,54,53,0.2941,0.0,2.6471,0.2941,0.1111,0.0,46.4706,51.4706,17.6471,1,37,0,Ankle sprain,37,1.0,0.2,1,2,7813,1,1,3906.5,7813,491.4201,0.1373,0.1723,-0.0917,0.05,0.1333,1,2,0,Negative,5.9804,18.5,-0.02085,15628,64141568.0,76496180.19203065,71554336.1152184
Matheus Garcia,2023/24,5,Manchester City,Forward,4,29,100916303,18.4298,4,original,841,0.8187,Experienced,0,1,0,0,14,1106,79.0,2,11,6,89,829,504,60.8,1,96,51,0.5312,22,9,3,0.8951,0.4882,7.2423,1.3834,0.1236,0.5455,8.5443,1.7902,7.8201,2,89,6,Abdominal problems,178,0.7,0.4,1,4,10297,1,1,2574.25,10297,591.1797,0.0,0.1488,-0.2444,0.075,0.275,0,2,2,Negative,3.0678,89.15,-0.0847,20598,91758784.0,108229566.36023524,101641255.81614111
Sofyan Sylla,2023/24,5,Tottenham,Defender,2,29,29296596,17.193,2,original,841,0.8187,Experienced,1,0,0,0,17,1360,80.0,2,1,3,11,1789,1356,75.8,2,56,32,0.5714,4,49,43,0.0662,0.1985,0.7279,0.2647,0.0909,3.0,6.9485,0.2647,1.039,1,60,4,Cartilage damage,60,0.8095,0.2,1,1,3536,1,0,3536.0,3536,247.532,0.0613,0.089,0.007,-0.1417,0.1278,1,1,1,Neutral,0.4345666666666666,30.09525,-0.06735,7073,24107548.0,28709481.312733877,26868707.78764032
