lstm_units,lstm_layers,dropout_rate,learning_rate,batch_size,rmse,mae,r2
64,2,0.2,0.01,16,8513414.41379032,4947014.25,2.448977741786873e-05
64,2,0.3,0.01,16,8513679.043936504,4886968.25,-3.7677471903752036e-05
32,2,0.3,0.01,16,10382350.725912629,5942593.458333333,-0.4872131152850232
32,2,0.2,0.01,16,10527615.722369095,6192889.395833333,-0.5291210374982471
64,2,0.3,0.01,32,10991239.981841886,6951849.583333333,-0.6667681614023127
64,2,0.2,0.01,32,11051423.784928257,7046617.583333333,-0.6850712979315396
64,1,0.3,0.01,16,11792955.411480159,8160508.205729167,-0.9187885946076044
32,2,0.3,0.01,32,11806192.481055625,8179638.671875,-0.9230985223473285
32,2,0.2,0.01,32,11849890.495760167,8242583.34375,-0.9373607169082112
64,1,0.2,0.01,16,11871796.054381464,8274033.015625,-0.9445300987420984
32,1,0.3,0.01,16,11942207.389108445,8374745.7561848955,-0.96766442224719
64,1,0.3,0.01,32,11943191.338206979,8376147.987630208,-0.9679886774423596
32,1,0.2,0.01,16,11945215.466765987,8379034.350423177,-0.9686558022553164
64,1,0.2,0.01,32,11945990.693274193,8380138.908854167,-0.9689113361450554
32,1,0.3,0.01,32,11956229.461035592,8394727.187052408,-0.972287843887079
32,1,0.2,0.01,32,11957906.58232616,8397115.414571127,-0.9728411952488873
64,1,0.3,0.001,16,11959933.068460993,8399999.942698883,-0.9735099200064403
32,1,0.3,0.001,16,11959933.06933987,8399999.944253549,-0.973509920296487
64,1,0.3,0.001,32,11959933.077606043,8399999.95548702,-0.9735099230244915
32,2,0.2,0.001,16,11959933.086039238,8399999.966152787,-0.9735099258076167
64,1,0.2,0.001,32,11959933.090040008,8399999.971962925,-0.973509927127951
32,1,0.2,0.001,32,11959933.091598624,8399999.97443188,-0.9735099276423267
32,2,0.3,0.001,32,11959933.095359981,8399999.979196465,-0.9735099288836506
64,2,0.2,0.001,16,11959933.095432818,8399999.979140727,-0.9735099289076881
32,2,0.3,0.001,16,11959933.096869465,8399999.981305787,-0.9735099293818106
64,2,0.3,0.001,16,11959933.096912768,8399999.981253935,-0.9735099293961009
32,1,0.3,0.001,32,11959933.097496405,8399999.982466687,-0.9735099295887137
64,1,0.2,0.001,16,11959933.099820921,8399999.98452542,-0.9735099303558508
64,2,0.3,0.001,32,11959933.100224966,8399999.985919124,-0.9735099304891939
32,2,0.2,0.001,32,11959933.108765582,8399999.997816393,-0.9735099333077697
64,2,0.2,0.001,32,11959933.113578098,8400000.004575226,-0.9735099348959975
32,1,0.2,0.001,16,11959933.167492352,8400000.07763051,-0.9735099526887923
